ax,ay,az,gx,gy,gz,tremor
6940.0,-11828.0,-10900.0,-698.0,-301.0,881.0,0.0
6672.0,-12112.0,-10916.0,-324.0,831.0,182.0,0.0
6916.0,-12240.0,-10692.0,-316.0,326.0,-83.0,0.0
6720.0,-12208.0,-10976.0,-445.0,-130.0,429.0,0.0
6820.0,-12044.0,-10992.0,-416.0,-318.0,344.0,0.0
6884.0,-11992.0,-10892.0,-484.0,-380.0,587.0,0.0
6820.0,-12308.0,-10868.0,-635.0,-190.0,158.0,0.0
6752.0,-12132.0,-11036.0,-1078.0,-529.0,-161.0,0.0
6600.0,-11860.0,-11276.0,-1147.0,-471.0,-258.0,0.0
6628.0,-11828.0,-11176.0,-539.0,-565.0,87.0,0.0
6620.0,-11944.0,-11588.0,-786.0,-671.0,64.0,0.0
6452.0,-11728.0,-11432.0,-412.0,-464.0,-110.0,0.0
6300.0,-11788.0,-11328.0,-675.0,-326.0,-88.0,0.0
6548.0,-11728.0,-11584.0,-992.0,-208.0,-284.0,0.0
6672.0,-11628.0,-11568.0,-738.0,-433.0,-1.0,0.0
6356.0,-12244.0,-10992.0,-905.0,-470.0,-56.0,0.0
6548.0,-12052.0,-11936.0,-631.0,99.0,-307.0,0.0
6728.0,-11488.0,-12024.0,-203.0,-98.0,-206.0,0.0
6496.0,-11464.0,-11900.0,-373.0,-245.0,212.0,0.0
6404.0,-11668.0,-11744.0,-186.0,-405.0,42.0,0.0
6536.0,-11376.0,-11788.0,132.0,-361.0,-202.0,0.0
6352.0,-11360.0,-11872.0,314.0,-300.0,-9.0,0.0
6548.0,-11956.0,-11684.0,342.0,-88.0,56.0,0.0
6600.0,-12076.0,-11616.0,74.0,-195.0,-172.0,0.0
6464.0,-11468.0,-11600.0,-86.0,-85.0,-341.0,0.0
6580.0,-11584.0,-11696.0,-26.0,-151.0,-278.0,0.0
6504.0,-11556.0,-11584.0,57.0,-59.0,-148.0,0.0
6460.0,-11684.0,-11600.0,54.0,-101.0,-130.0,0.0
6588.0,-11720.0,-11556.0,-95.0,-14.0,-385.0,0.0
6536.0,-11520.0,-11656.0,23.0,123.0,-353.0,0.0
6676.0,-11704.0,-11700.0,116.0,102.0,-225.0,0.0
6656.0,-11700.0,-11512.0,-31.0,34.0,-201.0,0.0
6692.0,-11576.0,-11676.0,21.0,32.0,-102.0,0.0
6724.0,-11740.0,-11504.0,7.0,31.0,-152.0,0.0
6620.0,-11728.0,-11564.0,99.0,43.0,-55.0,0.0
6616.0,-11616.0,-11544.0,-209.0,-106.0,41.0,0.0
6436.0,-11724.0,-11368.0,-99.0,-213.0,221.0,0.0
6780.0,-11816.0,-11572.0,-77.0,-78.0,129.0,0.0
6816.0,-11552.0,-11424.0,-230.0,-15.0,246.0,0.0
6636.0,-12088.0,-11416.0,-86.0,-131.0,210.0,0.0
6596.0,-11856.0,-11352.0,-276.0,-246.0,11.0,0.0
6680.0,-11624.0,-11656.0,-397.0,-195.0,-108.0,0.0
6548.0,-11672.0,-11444.0,-484.0,-193.0,445.0,0.0
5860.0,-11444.0,-11780.0,-4872.0,-865.0,541.0,0.0
6336.0,-11768.0,-11816.0,1581.0,-237.0,637.0,0.0
6512.0,-11744.0,-11396.0,109.0,-171.0,310.0,0.0
6412.0,-12244.0,-11692.0,578.0,-413.0,252.0,0.0
6716.0,-11792.0,-11684.0,-16.0,-122.0,-111.0,0.0
6724.0,-11668.0,-11424.0,-52.0,-54.0,-27.0,0.0
6592.0,-12108.0,-11756.0,-254.0,-153.0,-232.0,0.0
6532.0,-11756.0,-11632.0,-210.0,-198.0,-230.0,0.0
6284.0,-11632.0,-11696.0,-364.0,-298.0,18.0,0.0
6252.0,-11808.0,-11724.0,-269.0,-260.0,113.0,0.0
6316.0,-11568.0,-11624.0,-166.0,-333.0,292.0,0.0
6288.0,-12068.0,-11648.0,-372.0,-237.0,209.0,0.0
6280.0,-11684.0,-11728.0,-488.0,-499.0,68.0,0.0
6280.0,-11576.0,-11660.0,-132.0,-364.0,205.0,0.0
6312.0,-11788.0,-11788.0,-313.0,-402.0,310.0,0.0
6384.0,-11812.0,-11796.0,-71.0,-91.0,157.0,0.0
6292.0,-11964.0,-11692.0,-285.0,-369.0,191.0,0.0
6076.0,-11800.0,-11820.0,-539.0,-435.0,-177.0,0.0
5920.0,-11508.0,-11868.0,-358.0,-381.0,34.0,0.0
5956.0,-11472.0,-11804.0,-132.0,-181.0,228.0,0.0
5992.0,-11772.0,-11788.0,-144.0,-209.0,391.0,0.0
6040.0,-11948.0,-11836.0,0.0,28.0,147.0,0.0
6180.0,-12084.0,-11900.0,-167.0,-191.0,15.0,0.0
6036.0,-11860.0,-12100.0,-66.0,-250.0,130.0,0.0
5984.0,-11688.0,-11848.0,-240.0,-156.0,65.0,0.0
5884.0,-11724.0,-12088.0,-378.0,-398.0,134.0,0.0
5768.0,-11804.0,-11940.0,-364.0,-299.0,85.0,0.0
5860.0,-11496.0,-11764.0,-236.0,-168.0,213.0,0.0
5940.0,-12096.0,-11908.0,-133.0,-102.0,2.0,0.0
5920.0,-11944.0,-11864.0,-104.0,-199.0,3.0,0.0
5964.0,-11720.0,-12068.0,-313.0,-195.0,-111.0,0.0
5696.0,-11784.0,-11968.0,-384.0,-320.0,22.0,0.0
5712.0,-11800.0,-12028.0,-209.0,-270.0,51.0,0.0
5808.0,-11728.0,-12044.0,-330.0,-271.0,-9.0,0.0
5604.0,-11604.0,-12092.0,-403.0,-167.0,47.0,0.0
5632.0,-11680.0,-11912.0,-149.0,-265.0,176.0,0.0
5796.0,-11728.0,-12296.0,-144.0,-213.0,-14.0,0.0
5764.0,-11732.0,-12196.0,-47.0,-205.0,99.0,0.0
5700.0,-11728.0,-12012.0,-138.0,-166.0,23.0,0.0
5624.0,-11704.0,-11956.0,-307.0,-306.0,47.0,0.0
5736.0,-11548.0,-12052.0,-333.0,-187.0,-21.0,0.0
5728.0,-11896.0,-12124.0,-329.0,-283.0,84.0,0.0
5640.0,-11640.0,-12140.0,-558.0,-230.0,67.0,0.0
5576.0,-11468.0,-12316.0,-236.0,-216.0,123.0,0.0
5472.0,-11764.0,-12284.0,-169.0,-288.0,17.0,0.0
5336.0,-11720.0,-12124.0,-206.0,-272.0,44.0,0.0
5464.0,-11500.0,-12024.0,-79.0,-158.0,-2.0,0.0
5504.0,-11672.0,-12388.0,131.0,-88.0,62.0,0.0
5668.0,-11908.0,-12128.0,203.0,-24.0,104.0,0.0
5620.0,-11752.0,-12092.0,88.0,-102.0,46.0,0.0
5508.0,-11700.0,-12236.0,118.0,206.0,-198.0,0.0
5640.0,-12112.0,-12156.0,-53.0,-249.0,-151.0,0.0
5536.0,-11688.0,-12128.0,-114.0,146.0,-942.0,0.0
5888.0,-11588.0,-12272.0,4940.0,1729.0,-771.0,0.0
6712.0,-13104.0,-11836.0,2639.0,3458.0,-2790.0,0.0
7192.0,-11868.0,-10580.0,1872.0,3000.0,-2310.0,0.0
6940.0,-12240.0,-10192.0,-178.0,2222.0,-2206.0,0.0
7156.0,-11688.0,-10712.0,-517.0,703.0,-1674.0,0.0
7108.0,-12276.0,-10900.0,-1386.0,47.0,-1131.0,0.0
7300.0,-11732.0,-11048.0,-571.0,95.0,-554.0,1.0
7224.0,-11876.0,-10944.0,-813.0,-300.0,-468.0,1.0
7084.0,-11328.0,-11136.0,-451.0,-686.0,-357.0,1.0
6984.0,-11392.0,-11312.0,-1087.0,-1253.0,217.0,1.0
6784.0,-11692.0,-12004.0,-1067.0,-342.0,-181.0,1.0
7068.0,-11844.0,-11724.0,45.0,116.0,-211.0,1.0
7336.0,-11500.0,-11244.0,209.0,257.0,-288.0,1.0
7268.0,-11424.0,-11248.0,-86.0,193.0,-394.0,1.0
7364.0,-11344.0,-11188.0,5.0,268.0,-315.0,1.0
6956.0,-11516.0,-11900.0,626.0,1321.0,-971.0,1.0
7296.0,-11816.0,-11656.0,4243.0,7121.0,-3066.0,1.0
10252.0,-11884.0,-9164.0,3679.0,5197.0,-1434.0,1.0
9028.0,-10864.0,-8672.0,-2969.0,-5455.0,3413.0,1.0
4952.0,-13608.0,-13124.0,3478.0,3838.0,-4580.0,1.0
12148.0,-11984.0,-8692.0,7708.0,18571.0,-12895.0,1.0
14532.0,-8132.0,-2400.0,-3672.0,-13444.0,11747.0,1.0
320.0,-13276.0,-12660.0,-3738.0,-14497.0,8643.0,1.0
11040.0,-13824.0,-11532.0,2871.0,6433.0,-1921.0,1.0
6820.0,-13004.0,-10156.0,-221.0,1089.0,-1707.0,1.0
10412.0,-10156.0,-8240.0,-866.0,-902.0,1042.0,1.0
5888.0,-14128.0,-11380.0,231.0,-939.0,-192.0,1.0
11432.0,-9724.0,-7940.0,2216.0,6686.0,-5359.0,1.0
8160.0,-11084.0,-7632.0,-1506.0,-7348.0,5021.0,1.0
8016.0,-11552.0,-11936.0,-861.0,12088.0,-13427.0,1.0
12096.0,-9944.0,-6616.0,4220.0,-2850.0,3700.0,1.0
6172.0,-12540.0,-11780.0,-2542.0,4246.0,-7518.0,1.0
13952.0,-12424.0,-6168.0,5479.0,-521.0,-499.0,1.0
10128.0,-7864.0,-7456.0,-3952.0,-9725.0,7501.0,1.0
9692.0,-14784.0,-9172.0,-190.0,-7011.0,6548.0,1.0
7752.0,-12520.0,-12196.0,-3078.0,3549.0,-4680.0,1.0
10832.0,-11912.0,-8384.0,-3344.0,480.0,-3848.0,1.0
7424.0,-7700.0,-10152.0,-552.0,-2276.0,-1367.0,1.0
10224.0,-13120.0,-10500.0,-2942.0,4946.0,-10886.0,1.0
9280.0,-8128.0,-9812.0,3078.0,2877.0,-5265.0,1.0
13060.0,-9384.0,-7744.0,-4486.0,3149.0,-1827.0,1.0
11692.0,-8388.0,-8292.0,-1025.0,-8677.0,9510.0,1.0
7276.0,-14544.0,-13812.0,-3990.0,3374.0,-5334.0,1.0
12540.0,-11576.0,-9804.0,4308.0,5459.0,-4082.0,1.0
10316.0,-6868.0,-6820.0,309.0,-8370.0,6689.0,1.0
5548.0,-15736.0,-13416.0,1025.0,5138.0,-7534.0,1.0
13632.0,-9956.0,-7400.0,6294.0,4403.0,-3605.0,1.0
7784.0,-8968.0,-8612.0,-5505.0,-5334.0,813.0,1.0
12732.0,-11100.0,-10168.0,4438.0,4485.0,-740.0,1.0
13024.0,-7888.0,-7088.0,-683.0,7733.0,-3961.0,1.0
12068.0,-6736.0,-5260.0,-4043.0,-14961.0,13419.0,1.0
8060.0,-14080.0,-13760.0,-3008.0,2167.0,-4577.0,1.0
13376.0,-11688.0,-9216.0,6340.0,5058.0,-1735.0,1.0
9760.0,-7824.0,-5760.0,-3846.0,-8294.0,4654.0,1.0
8676.0,-13244.0,-12356.0,1427.0,8401.0,-7569.0,1.0
14468.0,-9252.0,-7696.0,2652.0,11071.0,-8117.0,1.0
11804.0,-4660.0,-3264.0,-4593.0,-12736.0,11052.0,1.0
7148.0,-15256.0,-13528.0,-1249.0,-4979.0,1748.0,1.0
12620.0,-10832.0,-9224.0,4252.0,4663.0,-1418.0,1.0
9544.0,-9624.0,-7052.0,-3310.0,802.0,-2127.0,1.0
12180.0,-10252.0,-8808.0,-3303.0,-9112.0,8204.0,1.0
3608.0,-16768.0,-15528.0,1431.0,170.0,-4209.0,1.0
10100.0,-9840.0,-8932.0,2231.0,17861.0,-9716.0,1.0
12288.0,-6760.0,-1840.0,-4852.0,-12296.0,8999.0,1.0
5100.0,-13288.0,-15368.0,828.0,3374.0,-7957.0,1.0
15784.0,-8536.0,-8680.0,2773.0,16349.0,-11345.0,1.0
10008.0,-6088.0,-1724.0,-6276.0,-10612.0,11562.0,1.0
8076.0,-16328.0,-15384.0,3270.0,3474.0,-5316.0,1.0
16612.0,-7864.0,-7756.0,3971.0,7921.0,-1392.0,1.0
9928.0,-8648.0,-4924.0,-7348.0,-13835.0,14221.0,1.0
10460.0,-13816.0,-11940.0,-611.0,3872.0,-2340.0,1.0
11948.0,-10540.0,-7840.0,-642.0,396.0,248.0,1.0
10288.0,-9092.0,-7168.0,-4017.0,-9341.0,10273.0,1.0
6808.0,-14396.0,-13092.0,-213.0,1883.0,-2779.0,1.0
11652.0,-9992.0,-8188.0,1186.0,7983.0,-4568.0,1.0
9280.0,-9224.0,-5720.0,-1870.0,-5359.0,4927.0,1.0
7380.0,-15000.0,-12628.0,3947.0,4516.0,-7140.0,1.0
14032.0,-7424.0,-7532.0,3976.0,19100.0,-11557.0,1.0
11100.0,-7084.0,-1260.0,-6316.0,-19184.0,15667.0,1.0
4928.0,-15844.0,-15468.0,105.0,3998.0,-7801.0,1.0
16348.0,-11060.0,-7464.0,5448.0,5853.0,-4222.0,1.0
10304.0,-3660.0,-1584.0,-8061.0,-12724.0,12302.0,1.0
5000.0,-21920.0,-15216.0,-1890.0,519.0,-6202.0,0.0
15660.0,-7260.0,-10712.0,6214.0,12386.0,-7366.0,0.0
11712.0,-5072.0,-1436.0,-5589.0,-6430.0,10856.0,0.0
6716.0,-15148.0,-11472.0,199.0,-2667.0,-4667.0,0.0
14252.0,-9100.0,-10296.0,3763.0,11364.0,-6801.0,0.0
12196.0,-7504.0,-4332.0,-2809.0,-7352.0,8892.0,0.0
5776.0,-15504.0,-11460.0,1484.0,-310.0,-4719.0,0.0
14396.0,-8040.0,-8864.0,3172.0,8563.0,-5684.0,0.0
10144.0,-8372.0,-4532.0,-4017.0,-7543.0,8256.0,0.0
8900.0,-13544.0,-10128.0,-1175.0,-1364.0,-2769.0,0.0
11180.0,-9884.0,-10144.0,1369.0,1933.0,-65.0,0.0
10804.0,-10148.0,-7484.0,-753.0,2670.0,399.0,0.0
10316.0,-10268.0,-6628.0,-1832.0,-1330.0,2440.0,0.0
10456.0,-11620.0,-8052.0,-651.0,-2713.0,3846.0,0.0
10292.0,-11472.0,-8916.0,468.0,-3876.0,5292.0,0.0
9940.0,-12752.0,-9972.0,-315.0,-287.0,596.0,0.0
10428.0,-11708.0,-9676.0,492.0,-444.0,1562.0,0.0
9908.0,-11740.0,-9316.0,599.0,-237.0,949.0,0.0
9544.0,-11824.0,-9020.0,-861.0,-3010.0,1253.0,0.0
8440.0,-12036.0,-9580.0,-846.0,-2742.0,408.0,0.0
8608.0,-11796.0,-9292.0,274.0,-492.0,-327.0,0.0
8716.0,-11864.0,-9516.0,-22.0,2.0,-246.0,0.0
8872.0,-11868.0,-9512.0,280.0,371.0,-369.0,0.0
9140.0,-11700.0,-9404.0,-18.0,353.0,-251.0,0.0
9208.0,-11884.0,-9168.0,-7.0,122.0,24.0,0.0
9376.0,-12048.0,-9252.0,-3.0,402.0,-122.0,0.0
9272.0,-12188.0,-8952.0,-21.0,707.0,-262.0,0.0
9400.0,-11988.0,-8368.0,358.0,662.0,-471.0,0.0
9164.0,-11856.0,-8300.0,209.0,-354.0,-240.0,0.0
9352.0,-11816.0,-8516.0,257.0,-1130.0,-22.0,0.0
9136.0,-11716.0,-8796.0,122.0,-1207.0,136.0,0.0
9024.0,-12056.0,-9024.0,177.0,-1080.0,346.0,0.0
8940.0,-11872.0,-8656.0,223.0,-1088.0,231.0,0.0
9116.0,-11780.0,-8784.0,326.0,-1382.0,554.0,0.0
8956.0,-11848.0,-9028.0,141.0,-1390.0,923.0,0.0
8852.0,-12252.0,-9276.0,253.0,-1278.0,603.0,0.0
8880.0,-12560.0,-9556.0,-449.0,-1155.0,724.0,0.0
8416.0,-12544.0,-9740.0,-721.0,-846.0,29.0,0.0
8340.0,-12064.0,-9636.0,-1222.0,-724.0,-264.0,0.0
8112.0,-12324.0,-9976.0,-667.0,-444.0,344.0,0.0
7992.0,-11992.0,-9736.0,-740.0,-724.0,360.0,0.0
8204.0,-12148.0,-9864.0,-438.0,-32.0,313.0,0.0
8048.0,-12168.0,-10144.0,-1239.0,-303.0,20.0,0.0
7984.0,-12156.0,-9908.0,-1096.0,-213.0,-149.0,0.0
7944.0,-12016.0,-10032.0,-797.0,-147.0,-535.0,0.0
8168.0,-11760.0,-10060.0,-977.0,-518.0,-317.0,0.0
8224.0,-11916.0,-10432.0,-760.0,-84.0,-175.0,0.0
8432.0,-12296.0,-10396.0,-736.0,-141.0,-176.0,0.0
8192.0,-11716.0,-10264.0,-327.0,15.0,-228.0,0.0
8040.0,-11764.0,-10240.0,-1601.0,-492.0,-542.0,0.0
8052.0,-11712.0,-10548.0,-25.0,-273.0,-74.0,0.0
8236.0,-11532.0,-10412.0,-1136.0,-81.0,-668.0,0.0
8228.0,-11656.0,-10676.0,-210.0,-116.0,-249.0,0.0
8116.0,-11388.0,-10676.0,51.0,73.0,-318.0,0.0
8108.0,-11424.0,-10788.0,-182.0,-259.0,-101.0,0.0
8104.0,-11376.0,-10712.0,-817.0,-86.0,-76.0,0.0
8020.0,-11604.0,-10564.0,561.0,111.0,480.0,0.0
8252.0,-11740.0,-10184.0,-129.0,312.0,-293.0,0.0
8372.0,-11524.0,-10232.0,208.0,66.0,-364.0,0.0
8412.0,-11548.0,-10496.0,195.0,-59.0,90.0,0.0
8308.0,-11508.0,-10384.0,409.0,13.0,381.0,0.0
8332.0,-11480.0,-9992.0,-62.0,-49.0,287.0,0.0
8464.0,-12036.0,-10268.0,70.0,-298.0,212.0,0.0
8544.0,-11864.0,-10092.0,153.0,-231.0,342.0,0.0
8456.0,-11916.0,-10024.0,450.0,-159.0,-22.0,0.0
8304.0,-11652.0,-10348.0,-218.0,-267.0,-26.0,0.0
8364.0,-11676.0,-10248.0,-327.0,-30.0,-101.0,0.0
8288.0,-11772.0,-10312.0,-189.0,-123.0,53.0,0.0
8356.0,-11972.0,-10348.0,-396.0,-339.0,-97.0,0.0
8176.0,-11624.0,-10432.0,-296.0,-65.0,-155.0,0.0
8216.0,-11544.0,-10184.0,-61.0,-153.0,119.0,0.0
8100.0,-11776.0,-10440.0,-266.0,-309.0,58.0,0.0
8188.0,-11824.0,-10404.0,-27.0,-257.0,160.0,0.0
8108.0,-11772.0,-10528.0,-395.0,-128.0,-151.0,0.0
8064.0,-11788.0,-10328.0,-417.0,-401.0,66.0,0.0
8144.0,-11712.0,-11292.0,139.0,218.0,-28.0,0.0
8076.0,-11788.0,-10324.0,-500.0,-259.0,63.0,0.0
7976.0,-11584.0,-10196.0,-206.0,-275.0,168.0,0.0
8276.0,-11716.0,-10400.0,-144.0,-218.0,142.0,0.0
8192.0,-11896.0,-10544.0,-262.0,-143.0,-14.0,0.0
8148.0,-11672.0,-10544.0,-299.0,-223.0,-74.0,0.0
7812.0,-11900.0,-10544.0,-499.0,-262.0,-253.0,0.0
8032.0,-11496.0,-10668.0,-283.0,-303.0,-62.0,0.0
7904.0,-11756.0,-10776.0,-73.0,-160.0,78.0,0.0
7972.0,-11556.0,-10504.0,-337.0,-265.0,126.0,0.0
7940.0,-11812.0,-10500.0,-295.0,-194.0,22.0,0.0
8032.0,-11624.0,-10764.0,-152.0,-277.0,97.0,0.0
7924.0,-11728.0,-10724.0,-326.0,-431.0,32.0,0.0
7924.0,-11584.0,-10636.0,-344.0,-326.0,135.0,0.0
7908.0,-11632.0,-10684.0,-266.0,-303.0,156.0,0.0
7820.0,-11636.0,-10648.0,-356.0,-239.0,69.0,0.0
7820.0,-11884.0,-10852.0,-254.0,-352.0,63.0,0.0
7788.0,-11720.0,-11088.0,-767.0,-359.0,-23.0,0.0
7676.0,-11460.0,-10820.0,-141.0,-322.0,166.0,0.0
7712.0,-11588.0,-10876.0,-80.0,-195.0,226.0,0.0
7752.0,-11828.0,-10952.0,-192.0,-226.0,154.0,0.0
7892.0,-11872.0,-10688.0,-143.0,-374.0,39.0,0.0
7800.0,-11628.0,-10904.0,6.0,-483.0,-5.0,0.0
7712.0,-11688.0,-10936.0,-301.0,-200.0,-86.0,0.0
7588.0,-11804.0,-10924.0,-254.0,-248.0,-91.0,0.0
7432.0,-11668.0,-10924.0,-375.0,-249.0,-184.0,0.0
7460.0,-11492.0,-11200.0,-274.0,-283.0,-140.0,0.0
7684.0,-11516.0,-10980.0,12.0,-188.0,102.0,0.0
7604.0,-11820.0,-11008.0,-256.0,-41.0,-147.0,0.0
7620.0,-11592.0,-10824.0,-230.0,-313.0,51.0,0.0
7496.0,-11728.0,-11160.0,-343.0,-453.0,-18.0,0.0
7576.0,-11536.0,-11140.0,-92.0,-387.0,241.0,0.0
7808.0,-11720.0,-11228.0,258.0,-36.0,169.0,0.0
7956.0,-11344.0,-11308.0,1726.0,1259.0,-222.0,0.0
9036.0,-11516.0,-11196.0,5935.0,4248.0,-133.0,0.0
10048.0,-11948.0,-9540.0,-2140.0,4651.0,-2210.0,0.0
8932.0,-11364.0,-8932.0,-663.0,1832.0,-470.0,0.0
8256.0,-12144.0,-9164.0,-2271.0,1210.0,-780.0,0.0
7716.0,-11920.0,-9676.0,-1448.0,-503.0,139.0,0.0
7588.0,-11428.0,-10760.0,-1924.0,-184.0,105.0,0.0
7840.0,-11676.0,-10456.0,-755.0,6.0,528.0,0.0
7508.0,-11720.0,-10420.0,-1106.0,-544.0,469.0,0.0
7624.0,-11416.0,-10468.0,-1079.0,-1113.0,755.0,0.0
7584.0,-11600.0,-10996.0,-1181.0,-1052.0,328.0,1.0
7744.0,-11420.0,-11004.0,-266.0,-914.0,310.0,1.0
8004.0,-11888.0,-10972.0,-136.0,-650.0,67.0,1.0
8188.0,-11564.0,-11188.0,274.0,-73.0,-282.0,1.0
8556.0,-10820.0,-11608.0,2631.0,400.0,756.0,1.0
8264.0,-10752.0,-11076.0,31234.0,3045.0,10190.0,1.0
6784.0,-25520.0,-7588.0,3525.0,11293.0,-5413.0,1.0
9576.0,-6984.0,-2364.0,-14274.0,1580.0,-10977.0,1.0
6384.0,-9712.0,-7424.0,6616.0,-10575.0,7184.0,1.0
